GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,24,0,0,0,3,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},11,0,0,0,1,0,1,0,1,0
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},11,0,0,0,1,0,1,0,1,0
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},11,0,0,0,1,0,1,0,1,0
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},11,0,0,0,1,0,1,0,1,0
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},11,0,0,0,1,0,1,0,1,0
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.new Function1() {...},0,99,0,0,0,20,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt.databaseModule.1.new Function2() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,SetExternalIncomingTransferSessionTokenRecordInactiveForToken.Input,0,12,0,0,0,2,0,2,0,2
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,SetExternalIncomingTransferSessionTokenRecordInactiveForTokenPostgres,0,28,0,0,0,6,0,2,0,2
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,SetExternalIncomingTransferSessionTokenRecordInactiveForToken,0,3,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.externalIncomingTransfers.queries,DatabaseModuleKt,0,11,0,0,0,1,0,2,0,2
BCN-WS,com.resoluttech.bcn.transfers.sendMoneyWithinBcn.utils,CurrencyListByBCNUserId..special..inlined.inject.new Function0() {...},11,0,0,0,1,0,1,0,1,0
BCN-WS,com.resoluttech.bcn.transfers.sendMoneyWithinBcn.utils,CurrencyListByBCNUserId..special..inlined.inject.new Function0() {...},0,11,0,0,0,1,0,1,0,1
BCN-WS,com.resoluttech.bcn.transfers.sendMoneyWithinBcn.utils,CurrencyListByBCNUserId,0,35,0,0,0,6,0,2,0,2
BCN-WS,com.resoluttech.bcn.transfers.shared,FeeInfo,0,21,0,0,0,3,0,3,0,3
BCN-WS,com.resoluttech.bcn.transfers.shared,TransactionFeeGeneratorImpl,0,36,0,0,0,9,0,2,0,2
